issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"This request requires human assistance because it involves a sensitive, high-risk, or unsupported issue.",claude,Escalated,product_issue,Escalated: High-risk keyword detected: 'restore my access'. This type of request requires human review for safety and accuracy.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"This request requires human assistance because it involves a sensitive, high-risk, or unsupported issue.",hackerrank,Escalated,product_issue,Escalated: Request requires privileged access: 'move\s+me\s+to\s+the\s+next\s+round'. This type of request requires human review for safety and accuracy.
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,"This request requires human assistance because it involves a sensitive, high-risk, or unsupported issue.",visa,Escalated,product_issue,Escalated: High-risk keyword detected: 'refund'. This type of request requires human review for safety and accuracy.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"This request requires human assistance because it involves a sensitive, high-risk, or unsupported issue.",hackerrank,Escalated,product_issue,Escalated: High-risk keyword detected: 'refund'. This type of request requires human review for safety and accuracy.
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,Please contact our support team for further assistance with your payment issue. We'll be happy to help you with your order ID: cs_live_abcdefgh.,hackerrank_community,Escalated,product_issue,"The provided documentation does not directly address payment issues or refunds. Therefore, we are escalating this issue to further assist the user."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"Unfortunately, the provided documentation does not cover the information security process for your company. Please refer to the HackerRank for Work documentation for more information.",integrations,Replied,product_issue,"The documentation only covers using HackerRank interviews in InterviewPlanner, but does not provide information on the information security process. Referenced documentation: Using HackerRank Interviews in InterviewPlanner."
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"Unfortunately, the provided documentation does not cover the issue of not being able to see the 'Apply' tab. Please refer to our documentation for best practices on candidate submissions, which may help resolve your issue.",screen,Replied,product_issue,"The documentation does not directly address the issue of the 'Apply' tab not being visible. Document 1 discusses plagiarism detection and Document 2 covers the Teamtailor integration, neither of which directly relates to the 'Apply' tab."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"We're sorry to hear that you're experiencing issues with submissions on our website. However, the provided documentation does not directly address the issue of submissions not working across any challenges. For further assistance, please refer to our support resources or contact our support team.",skillup,Escalated,product_issue,"The documentation only covers weekly challenges, token efficiency, and scoring. It does not provide information on general submission issues. Escalating to ensure the issue is properly addressed."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"I found only weak or partial matches in the provided documentation, so this request should be reviewed by a human.",screen,Escalated,product_issue,Escalated because retrieved documentation was not strong enough to answer safely (top score 0.105).
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"Unfortunately, we cannot assist with rescheduling your assessment at this time. Please contact the company that scheduled the assessment for further assistance.",chakra,Escalated,product_issue,"The provided documentation does not cover rescheduling assessments, and the issue is not addressed in the retrieved documents. The most relevant documents are about Chakra integration and creating custom reports, which do not relate to rescheduling assessments."
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,"According to our documentation, if an interviewer ends the interview, the candidate will be moved to the lobby, and the interview will end automatically after an hour of inactivity. If you'd like to extend the inactivity time, please refer to our 'Ending an Interview' documentation for more information.",interviews,Replied,product_issue,"The issue of inactivity times is addressed in the 'Ending an Interview' documentation, which states that the interview ends automatically after an hour of inactivity. However, it does not provide information on extending inactivity times."
"it’s not working, help",Help needed,None,"We're sorry to hear that it's not working. Unfortunately, we can't find any information in our release notes that directly addresses your issue. Please contact our support team at support@hackerrank.com for further assistance.",general-help,Replied,invalid,The provided documentation does not contain any information that directly answers the ticket. The release notes for January 2026 and January 2025 do not mention any issues or solutions that match the user's problem.
